S-16D Google 9 0.2727272727272727 S:2, I:0, D:4
S-16D Kardi 9 0.5 S:4, I:7, D:0

S-16D Google 10 0.2972972972972973 S:7, I:1, D:3
S-16D Kardi 10 0.2702702702702703 S:5, I:4, D:1

S-16D Google 11 0.1527777777777778 S:4, I:0, D:7
S-16D Kardi 11 0.25 S:4, I:13, D:1

S-16D Google 12 0.15384615384615385 S:3, I:0, D:3
S-16D Kardi 12 0.28205128205128205 S:3, I:8, D:0

S-20D Google 0 0.4959677419354839 S:61, I:0, D:62
S-20D Kardi 0 0.4032258064516129 S:55, I:14, D:31

S-20D Google 1 0.4 S:69, I:3, D:48
S-20D Kardi 1 0.26666666666666666 S:46, I:8, D:26

S-20D Google 2 0.45484949832775917 S:57, I:0, D:79
S-20D Kardi 2 0.3110367892976589 S:63, I:6, D:24

S-20D Google 3 0.40540540540540543 S:48, I:1, D:41
S-20D Kardi 3 0.3783783783783784 S:59, I:0, D:25

S-20D Google 4 0.3530239099859353 S:141, I:11, D:99
S-20D Kardi 4 0.28551336146272854 S:133, I:31, D:39

S-20D Google 5 0.385 S:67, I:7, D:80
S-20D Kardi 5 0.285 S:65, I:20, D:29

S-20D Google 6 0.6818181818181818 S:4, I:0, D:11
S-20D Kardi 6 1.0 S:12, I:9, D:1

S-20D Google 7 0.7435897435897436 S:14, I:3, D:12
S-20D Kardi 7 0.6666666666666666 S:16, I:8, D:2

S-20D Google 8 0.47368421052631576 S:6, I:0, D:3
S-20D Kardi 8 0.3157894736842105 S:4, I:0, D:2

S-20D Google 9 0.4794520547945205 S:18, I:5, D:12
S-20D Kardi 9 0.589041095890411 S:18, I:16, D:9

S-20D Google 10 0.4725274725274725 S:32, I:0, D:11
S-20D Kardi 10 0.5054945054945055 S:26, I:13, D:7

S-20D Google 11 0.5147058823529411 S:25, I:2, D:8
S-20D Kardi 11 0.4264705882352941 S:19, I:6, D:4

S-29A Google 0 0.27155172413793105 S:29, I:1, D:33
S-29A Kardi 0 0.13793103448275862 S:19, I:6, D:7

S-29A Google 1 0.24621212121212122 S:26, I:1, D:38
S-29A Kardi 1 0.17424242424242425 S:26, I:10, D:10

S-29A Google 2 0.35074626865671643 S:19, I:0, D:75
S-29A Kardi 2 0.11194029850746269 S:19, I:3, D:8

